MOEA/D-AEE,MOEA/D-DEM,MOEA/D-DE,MOEA/D-GA,NSGA-II,APG-SMOEA,DIFF-SMOEA
2.6634083658846326e-05,2.233603643443652e-05,2.886569686048481e-05,2.3789921965011547e-05,2.8077065017096384e-05,0.009854461965260382,3.6214655664140415e-05
3.699523680158985e-05,2.9702302024141653e-05,2.750103951064522e-05,2.5761666454015587e-05,3.892347173448908e-05,0.008053538264376034,3.007073379138825e-05
3.330307502583562e-05,2.6882348348075033e-05,2.314124546997695e-05,3.295738329092035e-05,3.539781134960932e-05,0.01254576382199322,2.40029279759791e-05
2.5241235461311152e-05,2.6354819244836956e-05,3.102165034751901e-05,3.632668011493254e-05,4.3244943220597325e-05,0.048885530938318676,2.423909633347088e-05
2.2475348908381476e-05,2.7191833938355645e-05,2.2390293382174953e-05,2.091523456599215e-05,3.1069373745917675e-05,0.007641203904012856,2.852104352150491e-05
2.6051351077229454e-05,2.898686719825393e-05,2.256909719419405e-05,2.1237240177225507e-05,3.089617565185537e-05,0.0065720310606732935,3.6137865100327355e-05
3.181945737764121e-05,2.656482466885622e-05,1.8822758562734274e-05,3.104083750477204e-05,3.454579428411178e-05,0.006716290588208245,3.475217486392898e-05
2.4756309581964354e-05,2.9368889790474666e-05,2.0991290834314015e-05,2.099175513158369e-05,3.783271502516855e-05,0.01365855547962392,2.4140984200611765e-05
2.2602164300885727e-05,2.4587843662424068e-05,2.3141123314868907e-05,2.60965892292547e-05,3.495035136087209e-05,0.007190468922031271,2.753677974098217e-05
2.5043850713131345e-05,2.679045806248668e-05,2.1328752006859402e-05,2.8731104120603273e-05,3.449291044147915e-05,0.015117335232842302,2.3349074083809897e-05
2.6574912500167986e-05,2.4487583242396915e-05,3.242241459428024e-05,2.810294247560917e-05,3.513389980821579e-05,0.008468191332583709,3.663026646955195e-05
3.936334698154084e-05,3.4328067043668435e-05,2.973896830568324e-05,2.2153086599828656e-05,3.807729806157643e-05,0.009617814885528424,2.5422182689641347e-05
2.679957758174027e-05,3.791914859051819e-05,2.210062592388374e-05,2.089278758371953e-05,3.412155520530285e-05,0.014499406279894584,2.4808033385244727e-05
3.214369290533235e-05,2.2976165782080377e-05,2.1365996124097602e-05,2.1476442192999816e-05,3.304592293441946e-05,0.021984360245522215,2.7618642978006936e-05
2.828782690142319e-05,2.931108672270383e-05,3.154964452096507e-05,2.07266799468688e-05,3.171177084285803e-05,0.007329791695874507,2.9716246172818544e-05
2.3490708951812255e-05,2.287444336154976e-05,2.2040692777697353e-05,2.0215162025019044e-05,4.208863998006697e-05,0.0005920540779917943,2.3150865215364683e-05
2.705195430125152e-05,2.5178029699262972e-05,3.3014374402504204e-05,2.7123987149411954e-05,3.9676949509746386e-05,0.01719102623779698,3.170913953102907e-05
2.3501437009883387e-05,2.6300615434794068e-05,2.163058237350374e-05,2.8085031407301418e-05,4.0798129428257e-05,0.005636810154887599,2.44832293972092e-05
2.2795408152866293e-05,4.603596096875312e-05,2.126838706664912e-05,1.8732131956754903e-05,3.552155997180766e-05,0.0054097381886922796,2.383977233078315e-05
2.764493761984406e-05,2.80748887592583e-05,2.2790704462468245e-05,1.9666366043009882e-05,4.471617611932854e-05,0.005879694411180687,3.302560909667479e-05
3.1774767478812366e-05,3.454898064654112e-05,2.338559594804873e-05,2.7184646217105596e-05,3.4549561109890353e-05,0.0059797247217972796,2.541009869609523e-05
2.877040479861927e-05,3.655396918069667e-05,2.555757792928792e-05,1.9213138503423554e-05,3.4607501283628196e-05,0.010126415103468492,2.6334815158699624e-05
2.4180294417841688e-05,2.5486872009107933e-05,2.3379199300994762e-05,2.0147241889749586e-05,3.5361479807019856e-05,0.006536004886598395,2.437734348634487e-05
2.7327095047773167e-05,2.6323872370354674e-05,2.5176735586110165e-05,2.3470995978409488e-05,3.9407886675558e-05,0.010788813040462307,2.492165846895406e-05
2.4866099041484028e-05,2.944207584586905e-05,2.001203662519996e-05,2.1748366670745913e-05,3.884077296196404e-05,0.035446788731443774,2.8080612335151445e-05
2.2880604947382296e-05,2.858262265320401e-05,2.282501473461251e-05,3.1683460132204435e-05,3.695390739878507e-05,0.008585933976467966,3.256407729412862e-05
2.3286270231353106e-05,2.376150425992991e-05,2.9505997566094985e-05,1.800819202547177e-05,3.555824433131827e-05,0.008102699570257723,2.4494767208369354e-05
2.764817425911036e-05,2.9197882760609204e-05,1.802468075914352e-05,1.827980298254057e-05,3.2883453049032714e-05,0.006031436572368671,2.5709696859556578e-05
3.2697267891628784e-05,3.89804172831e-05,3.894843915185637e-05,2.5696680365748237e-05,3.3582675423556004e-05,0.00028855512349992287,3.154729139149882e-05
2.8302253200518872e-05,3.143149644097631e-05,2.4259110101933805e-05,2.222985293848236e-05,3.713512371693665e-05,0.011302756388562192,3.401505409147889e-05
2.7261715335835917e-05,2.014214285567473e-05,2.007995628950709e-05,2.006053707201279e-05,3.493638904342637e-05,0.0068635043308311,3.683859375558092e-05
3.465891171291625e-05,3.2776377586128745e-05,2.4129381275437524e-05,2.959805980811253e-05,3.911498624433511e-05,0.01782790703021486,3.565297040411966e-05
2.6366588818421235e-05,3.3966289502994494e-05,2.6275232879582017e-05,2.6731728677549962e-05,2.5093852108288943e-05,0.01017487329146418,2.3157552037024015e-05
2.4216173915775397e-05,2.898834856746254e-05,3.3574818909210903e-05,2.590091262772152e-05,3.665905074515725e-05,0.01220832775062421,2.2208760269249447e-05
2.4146719787934455e-05,2.0776890950861772e-05,2.175336227140526e-05,2.2594417989551365e-05,3.8055755911059686e-05,0.0049335424411786665,2.7938726183803316e-05
2.9986005546169427e-05,2.1798868822658878e-05,2.291026604527386e-05,1.9667740059290074e-05,3.826706324080407e-05,0.009545034411398192,3.28784378988439e-05
2.2739211012113175e-05,4.108790637423899e-05,3.187768526268739e-05,3.087766875789903e-05,3.391073430582275e-05,0.009551277804491365,3.739975100618886e-05
3.1943870778861136e-05,2.8150091118985942e-05,2.066553974569867e-05,2.181015046785851e-05,3.3825315253521485e-05,0.008852844881960545,2.7742247890721177e-05
2.347123790208891e-05,2.4446951561954394e-05,2.1643455794451914e-05,2.507700632245988e-05,3.8021022437999796e-05,0.010110948536422016,3.616463722534418e-05
2.3121372345324787e-05,2.5774228325036308e-05,1.8391253624789834e-05,4.0475516244526e-05,3.6266759361880404e-05,0.01936426001972757,2.8039093308741058e-05
2.4422736978734242e-05,2.183536208738839e-05,2.5177219534619107e-05,1.7657189170275463e-05,3.7816243614868145e-05,0.00941670606704292,2.4764411623793226e-05
2.625766511758856e-05,2.9711833961780354e-05,2.191240290808984e-05,2.5577286046447856e-05,3.3614561757723245e-05,0.02142982137580938,2.9391157539397106e-05
2.491887965196976e-05,3.1728561973803964e-05,2.184086695574537e-05,1.8122056196888045e-05,3.6271594463908484e-05,0.0161617133831571,3.2345939826344674e-05
3.8782959812113044e-05,2.5927220880420153e-05,1.7159263569599454e-05,3.065891710250309e-05,3.9467265098637514e-05,0.008893145174685008,3.3203949518172436e-05
2.416369375774086e-05,2.5190164793018818e-05,1.8639178557200156e-05,2.0684154857102307e-05,3.68547619299462e-05,0.01928305880841281,3.61612709812918e-05
2.330813421355156e-05,2.764410084601227e-05,2.5284354018496966e-05,2.8773448056249038e-05,3.244464435454119e-05,0.000274568058829258,4.551208304685395e-05
2.4967620844756647e-05,2.963269751925103e-05,3.149824429640271e-05,1.86022463746303e-05,3.236407019302309e-05,0.00863710604658394,3.361031661559847e-05
3.5318602645559306e-05,2.7169354948937565e-05,3.1092955316846666e-05,2.5695794500772196e-05,3.796199299536004e-05,0.011341672766504362,2.5043139191625305e-05
2.8315051881868656e-05,2.267321112401777e-05,2.906584023269706e-05,2.497516180656454e-05,3.905459793976695e-05,0.022639137590963653,2.2066266583907657e-05
4.798024985550039e-05,3.180435736217907e-05,2.574549681686227e-05,1.8193092486458586e-05,3.320033592792356e-05,0.010978702966043773,2.4931730798922038e-05
3.9564225082630664e-05,2.9297953922610446e-05,2.3315628594716077e-05,2.4063976745324476e-05,4.357321723628094e-05,0.007641495776653395,2.4362020209290362e-05
