MOEA/D-AEE,MOEA/D-DEM,MOEA/D-DE,MOEA/D-GA,NSGA-II,APG-SMOEA,DIFF-SMOEA
3.940750384847598e-05,3.9309295297321974e-05,3.7425159707674116e-05,3.5097402901692884e-05,3.780063669267674e-05,3.940980797722104e-05,3.937032561994432e-05
3.9393294085434296e-05,3.9342934851311994e-05,3.739360005370482e-05,9.754791551866845e-06,3.663257840448519e-05,3.935873753317122e-05,3.936226235610231e-05
3.939027364206994e-05,9.764285492630474e-06,3.773169387852216e-05,3.436162129406923e-05,3.617527005248308e-05,3.937769644813493e-05,3.937386754595613e-05
3.940253952688885e-05,3.9323093434629746e-05,3.802222967146486e-05,3.584522118175755e-05,3.6219460974680065e-05,3.935675602215091e-05,3.931127069222482e-05
3.938371526459383e-05,3.9286900024147274e-05,3.485188562866881e-05,3.566177462432599e-05,3.759675480766848e-05,4.001427006782693e-05,3.9364841665386954e-05
3.9377104429785456e-05,3.9357042436591373e-05,3.4791911515339986e-05,3.5141958187112494e-05,3.709796251152625e-05,3.936449855504256e-05,3.939321945512792e-05
3.939542891235302e-05,3.937583206585028e-05,3.731273184639586e-05,3.583670655323932e-05,3.6573972737505295e-05,3.937912056467473e-05,3.9365530700324255e-05
3.93552788750874e-05,3.937721141407823e-05,3.627661487453611e-05,3.528790522528155e-05,3.6064005898172364e-05,3.9373593469464405e-05,3.9374985826339635e-05
3.9382536238567476e-05,3.937029436375287e-05,3.841571093737935e-05,3.757167260915983e-05,3.754457124844115e-05,3.937911562759204e-05,3.895141624062306e-05
3.9381268410184745e-05,3.9352856944876136e-05,3.503749835111113e-05,3.619309095504794e-05,3.705479593259158e-05,4.020147386127031e-05,3.9391312490012385e-05
3.939538816502407e-05,3.936401285384544e-05,3.769714860538561e-05,3.522793928646743e-05,3.762843274821512e-05,3.9364398218329105e-05,3.938543381876525e-05
3.937813677454512e-05,3.936727854018526e-05,3.8465291455666776e-05,3.491628650910017e-05,3.562372899148258e-05,3.940035597185655e-05,3.938849769739925e-05
3.9400585020582774e-05,3.9368026712666455e-05,3.350645473072655e-05,3.5674664815397745e-05,3.650350396687467e-05,3.981123459957701e-05,3.898587708179538e-05
3.940178829831401e-05,3.938960298589117e-05,3.50322060110302e-05,9.888949607512847e-06,3.678658532740137e-05,5.0647665688777733e-05,3.935686351074754e-05
3.9399364378953897e-05,3.936278254914823e-05,3.515539792979839e-05,3.5300068308097464e-05,3.67918996852758e-05,3.937543685362248e-05,3.93262644559505e-05
3.937433955113181e-05,3.9298850111351135e-05,3.794799999487824e-05,3.490103927951999e-05,3.589962411525428e-05,3.936272400429024e-05,3.938479078470572e-05
3.938356134362283e-05,3.927296347007172e-05,3.5638838457106e-05,3.524429744658647e-05,3.624237256292218e-05,3.93195476186749e-05,3.904226856024606e-05
3.939814125248354e-05,3.9370417680335045e-05,3.8646138217610055e-05,3.7675628115486294e-05,3.611955146878971e-05,4.013061481303227e-05,3.8952271030391404e-05
3.939112138379435e-05,3.937348387877554e-05,3.9051344325918976e-05,3.614608364671071e-05,3.688227793984668e-05,3.939912536644181e-05,3.9380132714472596e-05
3.9383960253716825e-05,3.936460739128456e-05,3.729162480961642e-05,3.55881145504238e-05,3.61565767085129e-05,4.021747893307177e-05,3.924673926615985e-05
3.939691019975086e-05,3.931748256599522e-05,3.765899934897026e-05,3.5617403332392056e-05,3.720739472577153e-05,3.937060311543914e-05,3.9394009934136185e-05
3.939055176788397e-05,3.937691027074923e-05,3.725824570981154e-05,3.5208848635574125e-05,3.658190029177448e-05,3.939303616554119e-05,3.899739044217526e-05
3.938655016326339e-05,3.928000729021849e-05,3.765571348146369e-05,3.556910258350168e-05,3.64932903952857e-05,4.026608404969997e-05,3.9241129880448294e-05
3.9382337286554165e-05,3.936328195306785e-05,3.5700437810787685e-05,3.576773230379259e-05,3.664357317695659e-05,4.0188695252687936e-05,3.9360168459309716e-05
3.9372525667693166e-05,3.938598103123529e-05,3.7480844021393154e-05,3.601403949322512e-05,3.626900012852971e-05,3.939438612093172e-05,3.940456722023718e-05
3.939302510216387e-05,3.9320074373709803e-05,3.853656928524211e-05,3.74642249152637e-05,3.7559455680120614e-05,4.000138953813006e-05,3.9328711386917046e-05
3.9383016338082944e-05,3.9366930748889096e-05,3.827640086972437e-05,3.7773751697124535e-05,3.634150381564307e-05,3.938860246502798e-05,3.9364842821306715e-05
3.936671349065432e-05,3.9336776412078154e-05,3.630159233996139e-05,3.6652693877700395e-05,3.7296318890822795e-05,3.937967763750006e-05,3.940721558477641e-05
3.9383074498052217e-05,3.937590466087778e-05,3.813812343364953e-05,3.361917505163654e-05,3.672017575699654e-05,4.027783564175391e-05,3.938133630728492e-05
3.939648465064255e-05,3.932506987406244e-05,3.542473624424973e-05,3.634339168362248e-05,3.652984130986963e-05,3.9395558970098274e-05,3.940437205416966e-05
3.9380685280425e-05,3.933134712604582e-05,3.7313701727755344e-05,3.448606767665853e-05,3.7536246317659426e-05,3.939262251303449e-05,3.934486813130254e-05
3.937393930082418e-05,3.933873519029842e-05,3.613877672300606e-05,3.64436570925576e-05,3.583660393483391e-05,4.02926499495883e-05,3.939054520985868e-05
