MOEA/D-AEE,MOEA/D-DEM,MOEA/D-DE,MOEA/D-GA,NSGA-II,APG-SMOEA,DIFF-SMOEA
5.61570046274482e-06,1.1314721371239266e-05,5.219546784623732e-06,1.8826063410790377e-06,1.3991177352343795e-05,0.002200379094973904,1.0591718317388646e-05
6.185952412912221e-06,1.0985258964583952e-05,0.00021838492485756088,2.401928278539887e-06,1.2086774155983174e-05,0.42756209736894296,1.5254222270276794e-05
4.9650022608642735e-06,8.759913357830332e-06,5.786581407986864e-06,2.045868853005748e-06,1.405871247382568e-05,0.3767130825004814,1.569429152212359e-05
4.1797267185183246e-06,5.5586448018610325e-06,5.901093580080442e-06,2.199366037048e-06,1.4308864692406033e-05,0.4143358392998692,2.5499386934807255e-05
6.270402330211366e-06,7.291430910630958e-06,4.914680963534948e-06,2.1709326090786058e-06,1.3615467611391668e-05,0.21244412998944082,1.9772796203894156e-05
5.10114292146725e-06,4.989847182474365e-06,2.9179919510173552e-05,2.1807871048008232e-06,1.3668354193712099e-05,0.054669648683407034,1.4356025582034124e-05
6.987304522361952e-06,7.04095820931479e-06,6.9286010526980534e-06,2.372284652415502e-06,9.739369152817485e-06,0.062039175738739766,7.912454270790247e-06
6.23924041359853e-06,9.033885289750207e-06,4.129342520993014e-06,2.3428228759206527e-06,1.1772927580907238e-05,0.000242475801462482,1.8286760677838343e-05
6.1018702836931235e-06,9.643504771835765e-06,2.108595719226528e-05,2.3164446550715957e-06,1.1530351378808303e-05,0.42448609816661503,1.111015535569602e-05
6.24140186075141e-06,5.573956009384429e-06,5.715696344892175e-06,2.6717907076126664e-06,1.3069558224785872e-05,0.36412831021960296,1.3383883282653513e-05
4.364583504015374e-06,8.12517353699207e-06,3.487374196725943e-06,2.0028831355682696e-06,1.1420656250207458e-05,0.0009119589708237049,1.0948559969603131e-05
8.959175232310316e-06,9.42263901964858e-06,4.451843611645296e-06,1.9457319306334653e-06,1.1240832198767023e-05,0.4313060052677748,1.814385944143112e-05
4.4563357198412304e-06,4.597017012258806e-06,2.1641901616313044e-05,2.048694416570771e-06,1.0819423174516305e-05,0.49665228133688044,6.678030120220279e-06
7.994826103688193e-06,5.880186070517592e-06,5.1577312564964e-06,2.8535957319871898e-06,1.0832735594443695e-05,0.38856914285954397,1.0769001632599857e-05
6.1904305374231355e-06,7.472302410270372e-06,3.581122982726041e-06,2.3738234915690857e-06,1.2539736301370423e-05,0.42979598517378603,8.816428763585932e-06
5.937330953362579e-06,8.534509899047667e-06,4.629324743163216e-06,2.1768986519406277e-06,1.4548659770554218e-05,0.4487173470268415,1.2501919392785053e-05
5.729100854779075e-06,5.163115791581246e-06,9.465961473818522e-06,2.08364322081515e-06,1.291980976987002e-05,0.4537234981606516,8.129392373724008e-06
5.147969044353292e-06,6.649442078128823e-06,7.982943980858968e-06,2.4319629027940257e-06,1.2206610597777907e-05,0.13757587991791773,1.1918333473839625e-05
5.422173124468505e-06,8.14983743013359e-06,8.48992782964946e-05,2.0461587729090603e-06,9.056354156451164e-06,0.3998952992778752,7.188394978945273e-06
6.257563029969037e-06,6.649611255483469e-06,4.509837169933174e-05,2.1021922612081056e-06,1.3967251147762743e-05,0.4268095844155558,3.240624759789161e-05
5.910916082589757e-06,4.763436941133744e-06,1.1297971262135845e-05,2.4355821021710216e-06,1.1664408182275718e-05,0.39092182779452955,8.33796593981954e-06
5.905304462765996e-06,7.057065707728123e-06,2.038853247093083e-05,2.3409126382798087e-06,1.1195988125448928e-05,0.3285554159171405,9.090350535591894e-06
6.1924787036603765e-06,1.0945872128599152e-05,0.0004900547782124798,2.2990990734878178e-06,1.2975569097755844e-05,0.332142483401819,1.5556359864721533e-05
5.132757074411044e-06,7.612242269867177e-06,5.3822286501690545e-06,2.3412014327720216e-06,1.1229746594195714e-05,0.4438370004358261,9.739978277967046e-06
4.813901626551795e-06,6.636432634055308e-06,4.435504300049913e-05,2.52971472767804e-06,1.1082382153570472e-05,0.47780313413894576,6.966684181789908e-06
4.1071735291806055e-06,6.252352630973568e-06,7.292595065623267e-06,2.4923404060890465e-06,1.1835046338892255e-05,0.23401297007124391,1.8870898984016244e-05
5.5287751267455585e-06,4.424516419571353e-06,4.488322819633599e-05,2.2127382935463006e-06,1.2871588716674297e-05,0.38398811213730005,1.1121910952978083e-05
7.4334666911671396e-06,8.204133583538369e-06,7.3856207109623014e-06,3.004311849626696e-06,1.1340481366609267e-05,0.4782543195470812,5.863863271925146e-06
6.130029264284747e-06,5.044324260900658e-06,4.711892359830884e-06,2.0900745089875176e-06,1.1025707066678172e-05,0.4249108469521505,1.1406253411457737e-05
6.3510031091638e-06,9.302867457877787e-06,4.621502575933299e-05,2.0766851708727334e-06,1.1461412853904036e-05,0.00022739878937486495,5.589318456956422e-06
6.1555939750267246e-06,4.567822155463836e-06,4.946484597873635e-06,2.070122553818551e-06,1.0261409043356526e-05,0.05837136724076413,6.905534263536804e-06
5.339609346252963e-06,5.059116163795199e-06,4.48674470825257e-06,1.9477559917376873e-06,1.3056475201913789e-05,0.3658902003241386,9.867520145191039e-06
5.585598957211857e-06,8.73778562929438e-06,8.505766780177952e-06,1.992353929338838e-06,1.0973069349814247e-05,0.4009041194658754,1.4005435483450694e-05
7.537046859604149e-06,1.1896075223412923e-05,4.679915569888145e-06,2.403117302001877e-06,9.514062332683024e-06,0.4073851373930919,1.1163584278740146e-05
4.493189939983841e-06,5.961364979105142e-06,9.867324897987226e-06,2.5941365314506896e-06,1.1927341667448758e-05,0.3426597289536377,1.1334318557673936e-05
6.8586742886093165e-06,4.210764698851708e-06,7.0984950156297064e-06,2.9254452082619996e-06,1.4729255007454671e-05,0.38080410792162717,6.315152461550315e-06
4.832427196066927e-06,7.262113527023406e-06,4.810908187563779e-05,2.2866294438358416e-06,1.1174787367721087e-05,0.31856608283895305,7.25812137740664e-06
5.6951317596896335e-06,7.1749339683496434e-06,0.0005047228981359593,2.0431219265070658e-06,1.2466709254732951e-05,0.4115970642435515,1.4580150593404077e-05
6.567960605851226e-06,9.643526998617785e-06,3.952807014163553e-06,2.5832786418317637e-06,1.1638481325571992e-05,0.41964451443399753,9.768819617593754e-06
6.617196000550243e-06,9.736682959374965e-06,8.582171837340056e-06,1.7433251786537211e-06,1.308248012673554e-05,0.38310976032663385,8.676929145395117e-06
5.098079167728675e-06,1.4568317659619798e-05,4.476510921360358e-06,2.5175549181445428e-06,1.3290808115881461e-05,0.3994590723833035,6.280736367944926e-06
6.363051763456733e-06,7.20376173627938e-06,4.549556001253313e-05,2.5394832102565352e-06,1.160826569847517e-05,0.4282792741660757,6.887850787343573e-06
4.01695448201877e-06,6.9363153126887865e-06,8.646236591236021e-06,2.4823435591968272e-06,1.2265595290242514e-05,0.3992100749445092,1.200897134770377e-05
4.35835886839256e-06,5.215603066700464e-06,0.000498829518554042,2.125580010114311e-06,9.762343983328747e-06,0.43659306219605337,1.7170540249289908e-05
6.341926075473345e-06,9.632864042120908e-06,5.864090781981331e-06,2.452227430565782e-06,1.3471635451143912e-05,0.41897222604324447,1.1737963756860178e-05
4.661253647882554e-06,7.110820037335319e-06,6.478161604432924e-06,2.1755000501195843e-06,1.34897362966614e-05,0.2556254504956267,2.0629538815164217e-05
7.168558241306107e-06,9.449317516800726e-06,1.6801554406980723e-05,2.297914191428567e-06,1.3341703029928963e-05,0.43539263845995296,3.4393094767445404e-05
7.417188308384431e-06,8.451225493507863e-06,4.776328356861798e-06,2.2136027261360337e-06,1.1330379824603376e-05,0.40700012546142234,6.287269770361356e-06
8.712951193096812e-06,1.0051068432329367e-05,2.7410623408037537e-05,2.4204413962688423e-06,1.2631909738745636e-05,0.44205111621377824,8.92653943897635e-06
5.8683914337529015e-06,5.728127338113518e-06,4.5858497410156704e-05,2.2872749105316186e-06,1.1080715249341006e-05,0.39912406997931454,1.4314802202140987e-05
4.540005126469893e-06,7.256930456395106e-06,4.6742499497059946e-05,2.1057401165499385e-06,1.1720529783763948e-05,0.2831151504191083,2.270002629867601e-05
