MOEA/D-AEE,MOEA/D-DEM,MOEA/D-DE,MOEA/D-GA,NSGA-II,APG-SMOEA,DIFF-SMOEA
2.9549920945244996e-05,3.0017887288153955e-05,3.0362560420086448e-05,2.4787154409030746e-05,4.426667603830428e-05,0.00714709421206296,0.0013923339883674668
3.715755930985673e-05,3.22572201433621e-05,2.7974933596260118e-05,2.3190040590224493e-05,4.336065915447197e-05,0.009657604680360464,0.0006624106128511729
3.378709299713016e-05,3.718426385857606e-05,1.9548354203535273e-05,3.892375864027857e-05,4.653781708716059e-05,0.009633847955539296,0.000695282831540941
3.725299723833342e-05,2.5351195078294493e-05,2.5228555605028154e-05,2.455248082177002e-05,4.997114512777008e-05,0.00368132274486188,0.00048631489360753417
3.3875056958878616e-05,4.4389308533171815e-05,2.5212446698232394e-05,2.573749386787551e-05,4.0778533207717286e-05,0.017744915651531495,0.0005406127192456341
4.013840985002951e-05,3.1758898784697034e-05,2.974962915197516e-05,2.5659886285450367e-05,3.328308406977627e-05,0.00990492311079473,0.0010841618576902135
3.335099024900279e-05,4.486083014465901e-05,2.6768000398195388e-05,3.349779068438492e-05,4.094940126734473e-05,0.0003487398539045161,0.0006129983770709536
2.7382446111636557e-05,2.812998102383709e-05,2.7252761827297856e-05,2.961499969176223e-05,4.1695798867312694e-05,9.921222861064754e-05,0.0015354326749895649
2.8095506767579622e-05,4.423763212050142e-05,2.673020815510719e-05,2.105215404495678e-05,4.692871484058375e-05,0.0648236716242683,0.0004032427960372804
3.765784232716612e-05,2.9625144930615982e-05,3.554118174678048e-05,3.690064374945114e-05,3.623614427533127e-05,0.014850536682763748,0.00048816282130138047
3.239544056582066e-05,2.917093196142377e-05,3.1415290346488093e-05,2.86784048062073e-05,4.167270854383756e-05,0.01241284787928254,0.000627126048146983
2.5868550347176943e-05,3.468307157743999e-05,2.3706398325209337e-05,2.54627562121434e-05,4.784852668444284e-05,0.009972186729000881,0.002972136078046108
3.0328536661264698e-05,3.2593376508284935e-05,2.6817371507291582e-05,2.3013914194111872e-05,4.569672155937674e-05,0.009531243890650904,0.0006876523881808235
2.9552891734772044e-05,3.179482018050871e-05,2.7585964519320028e-05,2.2363133111281084e-05,4.149289748153917e-05,0.009845859076011218,0.0010314162809546576
3.382277936743639e-05,3.240135159477496e-05,2.817868934694779e-05,2.5500829233641358e-05,3.8981809230098273e-05,0.015481667980066073,0.0026746733333460324
2.906426454348381e-05,4.594804823179554e-05,3.235259703609112e-05,3.9199354155130544e-05,5.319516287108709e-05,0.010284252940020437,0.0006247884631572822
3.6487232142152586e-05,3.564430965174452e-05,3.063980000336433e-05,2.0336334808539772e-05,2.270969788730861e-05,0.012415912113517082,0.0006371754227598879
3.623327085548164e-05,3.732850605306193e-05,4.080394877863305e-05,1.9726666412534772e-05,4.764361711592922e-05,0.028099685610534098,0.0006193891887805596
3.351947348578957e-05,3.8098922456390326e-05,3.062872950000988e-05,2.7790612871396096e-05,4.717072783397125e-05,0.0068087259783015525,0.0005463935123289932
2.989329288111735e-05,3.103270476582391e-05,2.2902606732892384e-05,2.001263644646684e-05,3.217942882149423e-05,0.010308178524105541,0.0004372928635705891
4.1638409239050494e-05,2.985510623977854e-05,3.095346799966376e-05,3.131591384471703e-05,2.8498019072672854e-05,0.018222858918846015,0.0004725460191105894
3.3264178124505426e-05,3.2419379678376374e-05,2.3862263226948704e-05,1.9284910019296935e-05,4.9691419654671435e-05,0.02976149818374818,0.00023464174521748777
3.0051028781571464e-05,2.3401975227990006e-05,2.541341550276081e-05,2.4389730967900016e-05,4.7139610826912824e-05,0.02696520616451033,0.00048077803306345455
5.0797124213875895e-05,4.992289845264025e-05,2.588054857257713e-05,2.9536659922858587e-05,3.362703058801954e-05,0.012463304593881867,0.0005342106700672365
3.943151226957626e-05,3.161927058411114e-05,3.05832721740066e-05,2.888387853059027e-05,3.0557418940192506e-05,0.013549164386629196,0.0009584029706125906
3.1740888595798937e-05,5.5521013322806446e-05,5.4841824414574726e-05,3.532696571451323e-05,4.224174775048493e-05,0.012445701370207712,0.0010612266865905205
3.819430415926842e-05,3.1562570432931204e-05,3.043991723098399e-05,2.1888293288108756e-05,4.775909607281307e-05,0.010512556015479724,0.00022385169310423284
2.8899715248318498e-05,2.8254633708213276e-05,3.984197212716917e-05,2.4089510289008378e-05,4.239835309066405e-05,0.01125402847656781,0.0006357608302126781
4.241750168679612e-05,3.101526661272638e-05,2.757660634381123e-05,2.8101603707074417e-05,3.198748481318426e-05,0.016660659401624384,0.00046470573267767785
2.8520370271759357e-05,3.358988668080991e-05,3.310657348615744e-05,1.9517227651540414e-05,5.032699709166198e-05,0.006659895265641565,0.0008370156826200832
3.619459500589417e-05,3.908185248838905e-05,2.9459817769029295e-05,1.8494153083329138e-05,3.002377612295817e-05,0.03763762492748,0.00045254704284946516
2.7292312537723585e-05,3.4586509457035725e-05,3.203531486054305e-05,2.7518227522482682e-05,4.751684936164446e-05,0.008263634939177214,0.00047710627406838
3.670127603691159e-05,2.5280094833294736e-05,2.476252219268674e-05,2.3796103058745457e-05,5.058816630100978e-05,0.019644033422030853,0.00087907360706614
3.2850100375763154e-05,3.0409653676264538e-05,2.574946021634985e-05,2.619659939559838e-05,4.8445336694106624e-05,0.013025369981591884,0.00045402897242723247
3.867443064676995e-05,3.2132914257748735e-05,1.643507860936591e-05,2.1447196602665537e-05,4.493863960870603e-05,0.006213198406799206,0.00039407386156905215
3.173715184030765e-05,3.24205409554401e-05,3.6252182317002415e-05,2.523599556554617e-05,4.337125169924932e-05,0.008312101771691949,0.000879914713411847
4.138289092981943e-05,3.3813524399875265e-05,2.5927721669891924e-05,2.7911067117637973e-05,3.53343285791772e-05,0.004734015318974608,0.0005236119660151136
5.1965352320527734e-05,3.4880676566725256e-05,2.976715695567243e-05,2.1818427212836034e-05,4.770055480241962e-05,0.0004053943111927915,0.00043122577589119117
2.96864961800797e-05,5.3045487799588873e-05,3.32917704536e-05,1.8263603516999194e-05,4.294041521050547e-05,0.0073931386896794555,0.00024892235619854673
3.2439363121666015e-05,3.311939751592164e-05,3.218769484173832e-05,2.4451274712164824e-05,4.3467758512565457e-05,0.005398420228317508,0.0017446854636031359
3.66283551561744e-05,2.9902820457101522e-05,2.7200924555912112e-05,1.5924782318729195e-05,5.136805471233544e-05,0.014433265822898125,0.00304658890586351
4.878027504959563e-05,5.09033548804289e-05,3.1249830489162214e-05,3.901987651846111e-05,3.992152923178313e-05,0.007992283519227423,0.001712386512804813
4.0917968345057874e-05,2.6417947646280757e-05,2.618418719237652e-05,3.154296205967937e-05,4.72663526246543e-05,0.04695760532733503,0.0021858592756214663
3.514225830764835e-05,3.036357345131493e-05,4.766899260636127e-05,3.636100408623421e-05,4.6933389690761965e-05,0.00370133149624984,0.0006450089471727639
3.4398637869228796e-05,4.052779822011866e-05,3.348051916068639e-05,2.914286487898405e-05,4.0529949356650955e-05,0.007346777908543153,0.0005496506756109857
3.5689868247791274e-05,2.6037322608818133e-05,4.483263196930013e-05,2.1711505346959312e-05,4.1914824238655395e-05,0.013859068782641544,0.0005649308136284441
