MOEA/D-AEE,MOEA/D-DEM,MOEA/D-DE,MOEA/D-GA,NSGA-II,APG-SMOEA,DIFF-SMOEA
3.095693987556596e-05,2.1330009688292385e-05,1.8804977587823427e-05,1.4649576559692579e-05,2.61413483928802e-05,0.005760075766808877,0.0008530116854651979
2.068345484194716e-05,1.560681714818972e-05,1.7175802622624414e-05,1.9290776728386284e-05,3.166569533474852e-05,0.01279236019552303,0.0009648860387184475
1.8103118169173302e-05,1.888843288007591e-05,2.5592173346343053e-05,1.9739047739588875e-05,3.310840016386793e-05,0.011525556877428865,0.0007605552842711518
2.228264101423643e-05,2.075684273941653e-05,1.1417583174910656e-05,1.261280234397493e-05,2.883435252405817e-05,0.00991439889274665,0.0007066367797854237
2.0743049878210135e-05,1.9058855240948888e-05,2.423567283825484e-05,1.9937241721774343e-05,3.171830379875518e-05,0.01217248566463999,0.0005628356106164459
1.996224074325458e-05,2.880520757766863e-05,1.763982248518603e-05,2.3521538925004785e-05,3.0014325282397234e-05,0.008720335169264487,0.0011622088041111285
2.4542562060819487e-05,2.6871414809694264e-05,1.4460635654941217e-05,1.9561913287610947e-05,3.08022942536256e-05,0.01005938371445189,0.0007570809012555652
2.1334054271783634e-05,1.8847827739471604e-05,1.4528370985029952e-05,1.922722227545229e-05,3.2789334606611306e-05,0.009909046091957252,0.0007796872879318971
2.9532708138046873e-05,2.5490175733237486e-05,1.6140352610650047e-05,1.326304564719005e-05,2.8364455641874814e-05,0.012351728090033601,0.0006535241619778585
2.9857425244209765e-05,2.4161798676731343e-05,1.2236840351449981e-05,1.7124491049574464e-05,3.042720049483544e-05,0.008136075003970388,0.0008756271586744225
1.9857392320784044e-05,2.0041982193052723e-05,1.599623984745433e-05,1.558532345584223e-05,3.038321188793191e-05,0.008551008744502429,0.0009766455083421654
1.9387704605665263e-05,1.7716490098850732e-05,1.710324545085316e-05,1.550707017227531e-05,2.868168646918324e-05,0.014208025159012599,0.00043714418612740823
2.487474268152853e-05,1.8182944127331067e-05,1.4712590831188698e-05,2.8627104945832835e-05,3.040338599795183e-05,0.018170187762161595,0.0008126155667491533
1.7484766593931614e-05,2.656276546446522e-05,1.8867829750026494e-05,1.548996233579297e-05,2.982763791708247e-05,0.018868230581708386,0.0005080351178090803
1.8860470169272238e-05,1.7925655275560347e-05,1.4913317352990869e-05,2.046506195868829e-05,2.814777971194212e-05,0.020273101616127335,0.0007847727255707011
2.647625532905312e-05,1.845105501477674e-05,1.8446646388567277e-05,1.9650467712062015e-05,2.887362582767876e-05,0.014908804541666376,0.0005682636321010015
1.9617589424662723e-05,2.0498967155329896e-05,1.9071981218590382e-05,1.8613357512765157e-05,3.408026071397834e-05,0.009502650543355235,0.0006001136471993129
2.0790286852776683e-05,1.7589390815042902e-05,1.473934912679818e-05,2.2130434366028897e-05,2.9996735517509043e-05,0.00015354527828883552,0.0006535138053746369
1.8941766079510514e-05,2.7086862948162646e-05,1.3817866057055581e-05,1.5403538909591602e-05,3.340960784007202e-05,0.00019797579574271592,0.000874464225753971
1.7996488851844135e-05,1.8948386716378723e-05,1.828719215268607e-05,2.359690591547466e-05,2.993556262023252e-05,0.01002366894902913,0.0005173240647868598
1.9655252181390598e-05,1.746629440302583e-05,1.7366260551453266e-05,1.906656626297588e-05,2.8897160994075653e-05,0.009698914027051456,0.000569308148985765
2.4424220170844157e-05,1.6346501856672287e-05,1.5654799707705845e-05,1.6524319921368402e-05,2.976966630963739e-05,0.01310117276384077,0.0004950544228149588
1.809594018609012e-05,2.2689067327641254e-05,2.0247195697560226e-05,1.7340751695723035e-05,3.292908299320001e-05,0.04493893965538514,0.00045805173992244234
2.1247080107029386e-05,2.4685304476614892e-05,2.446341099483809e-05,2.0161041460212134e-05,3.369907501538089e-05,0.011218158789294051,0.0004922186602392449
2.0132434523075317e-05,1.9423715804163227e-05,1.805225389787602e-05,1.8227204133979255e-05,3.2975460417959355e-05,0.013134284313740818,0.0007703060045285684
1.7573364019347898e-05,1.4719676599016342e-05,2.22070459419464e-05,1.8786917147025226e-05,2.678717429869683e-05,0.012321405222448095,0.0002970786781875582
2.218382217564664e-05,2.4089053880711676e-05,1.3212130025832898e-05,1.695562103124746e-05,2.6824198696650058e-05,0.011945282625675416,0.0005686598469197544
2.2199163513634753e-05,1.872321619492e-05,1.736998472146391e-05,2.130628378752733e-05,3.0800833380008445e-05,0.007927885040809065,0.0007003327269339136
1.831606700587167e-05,2.014441706458819e-05,1.8266918913359166e-05,4.025592558202072e-05,3.235076172499263e-05,0.014307653858516307,0.0007904360821723055
1.8425413219266896e-05,2.1126879804463858e-05,1.4548271036455192e-05,1.1440059880623686e-05,2.9663319140389704e-05,0.010580330769483223,0.0014147903760499195
2.0651060361434234e-05,1.9238795166467547e-05,2.3128382429927962e-05,1.563663316138432e-05,3.212342078047017e-05,0.010298942531017093,0.00071694073745414
2.0830392719674718e-05,2.098322016409618e-05,1.900020106194662e-05,2.906670300996529e-05,2.858574365745722e-05,0.02138534744498157,0.0010012781181275919
2.2450807573611472e-05,2.297989983808104e-05,1.8749564744813156e-05,2.2367887234423504e-05,3.1491324782747504e-05,0.007235635288669341,0.000594290590666583
2.2087414841954598e-05,2.008885951471647e-05,1.423810125851409e-05,1.812398825748744e-05,2.970518221081032e-05,0.013267722628226014,0.0016029701439002075
2.0099551943640307e-05,3.760715211133241e-05,1.823028898007507e-05,1.6026660181746336e-05,2.9007740128769048e-05,0.00015309253318442827,0.0013813798536990182
1.707336657708834e-05,3.147059655876062e-05,1.5473278482763002e-05,2.1676245256552725e-05,2.3945084385406152e-05,0.010828633932928428,0.0007437821850314303
1.980897207219778e-05,1.738126427250644e-05,1.6303005076248876e-05,2.031549564855262e-05,3.296089753871825e-05,0.01733631721899335,0.001909073111673947
2.2051710647783796e-05,2.0617453576613717e-05,1.9993488363077652e-05,2.8767836035288085e-05,3.260209509527278e-05,0.011005130872793463,0.0006805520081030183
2.5142979403705734e-05,1.5116026943867189e-05,1.733087222825368e-05,2.7724866159925953e-05,3.223039492841343e-05,0.009768902536871628,0.0006154119641194346
2.0214237252015305e-05,1.9828124723729175e-05,1.8758214467502896e-05,1.898085764476078e-05,2.961105436982087e-05,0.014807619045737326,0.0007023205628502771
2.6590759522331938e-05,1.9458574210607755e-05,2.412528223862661e-05,2.0052502923011806e-05,2.695182715159626e-05,0.013261368653722684,0.000984880936431298
2.020520000003017e-05,2.7188485953569724e-05,1.7222995937157087e-05,2.001794672721648e-05,2.869352470123852e-05,0.008066501684823688,0.0007042864754464289
2.035640647763091e-05,1.3819205659129583e-05,9.86877476381326e-06,2.124910318801241e-05,3.3731470668215414e-05,0.012464505340449536,0.0004369250003179765
2.2854087062021714e-05,2.6650918751761258e-05,1.4638877052763258e-05,2.572537579570791e-05,2.9219806504993875e-05,0.014310085631580372,0.0006625228278667859
3.0240100450533608e-05,2.0960398680020244e-05,1.8119929777652995e-05,2.552771990098787e-05,2.7352017612460466e-05,0.009655699825520144,0.0010513586948870063
3.3364276376304066e-05,2.537319288669527e-05,1.605094125684566e-05,3.091351263833231e-05,2.8881823410503603e-05,0.017292343622702214,0.0006290001447790038
2.1355285518914417e-05,2.014498329891137e-05,1.566518274703394e-05,2.0519742480382943e-05,3.1925136586048634e-05,0.010599304727321549,0.0005564584669604765
1.9916694207174097e-05,1.7374689297514307e-05,1.6802460221999984e-05,1.9111021212346116e-05,2.8270551306980437e-05,0.08262572919550935,0.0007352809785281808
2.4628183135072278e-05,1.9496749793032594e-05,1.551963046621084e-05,1.911713618063216e-05,3.00620376309814e-05,0.002070557140789865,0.0007909512426212783
2.3314435440570368e-05,2.6928159148051353e-05,2.249614863427089e-05,2.1508453480598048e-05,2.913952210145646e-05,0.0004957050849270215,0.0006432962731665722
1.8665394588622856e-05,1.933083908673744e-05,1.7060772470774442e-05,2.2975403351870593e-05,2.7549179795531426e-05,0.02087725769499829,0.0004913060636951199
