MOEA/D-AEE,MOEA/D-DEM,MOEA/D-DE,MOEA/D-GA,NSGA-II,APG-SMOEA,DIFF-SMOEA
7.834031963055004e-06,1.0795099982325662e-05,1.081156831468849e-05,2.1840615139017462e-06,8.109277809285062e-06,0.2736479297729237,0.0164844531667061
8.99169573290942e-06,1.0740250104432972e-05,1.0274763304173315e-05,2.441338560156908e-06,1.0840097724024812e-05,0.6413126661663994,0.031728807287577154
7.817581294289162e-06,7.776717671956581e-06,0.00018726952819454626,4.367697602036826e-06,9.477219787525362e-06,0.6312709812735141,0.05274197704385854
7.358915620841042e-06,9.909944635231005e-06,0.00017961031645241608,2.425262903926948e-06,7.144940645729842e-06,0.15012483509449737,0.03401955135905924
8.63439920770023e-06,9.58442707485359e-06,1.2213334290538874e-05,2.4983930094943374e-06,1.663624051225657e-05,0.5188546701704934,0.042341589397498686
7.644143477487808e-06,9.043368605049403e-06,4.8241738314177524e-05,2.8731873058871826e-06,7.834948542798699e-06,0.6155465370038262,0.057820292197892365
7.1399611374631815e-06,1.1486284025651744e-05,0.00018448561399100254,3.2017130601287487e-06,6.932402999549847e-06,0.008078213048315554,0.03694359876465238
8.952076638134652e-06,7.1090621419966495e-06,1.779051591915695e-05,2.6006988684786554e-06,8.016440656554141e-06,0.0007453981006654648,0.03261253860369897
7.426812637604787e-06,1.1990760716576335e-05,0.0001812314664738569,2.7887377932279428e-06,1.011894675271735e-05,0.5459424327880488,0.023973538718144144
8.960883205728542e-06,8.418118351164452e-06,7.135910412266364e-05,4.195516591043604e-06,6.699027231449335e-06,0.6118497832845701,0.04475204374842348
7.531134797860638e-06,1.1320257879457156e-05,6.555367352465188e-05,2.463157707890552e-06,7.769873280979098e-06,0.5090988575446939,0.041760157360556646
8.406312499576274e-06,1.0689012092421271e-05,1.0469064882879576e-05,3.3789278505487816e-06,1.1405459627673712e-05,0.659489959553619,0.025603775148814775
7.3250574402264155e-06,9.007039187934358e-06,7.363086632145407e-06,2.2170177942974814e-06,7.404495543092801e-06,0.6849739487953188,0.0325012168598757
7.0030421237595735e-06,1.0709245286710407e-05,7.676720434262564e-06,2.4279040774256874e-06,7.876052252979652e-06,0.6538420878605371,0.03970844723026021
8.301584994245867e-06,9.000548868839183e-06,5.8537754370651583e-05,2.824563844672196e-06,9.96627288315571e-06,0.5082169074460497,0.036104580011150536
8.47684570490768e-06,1.0451941288390291e-05,4.155561510080215e-05,2.327016092732407e-06,8.521464115515458e-06,0.5575677771539802,0.028828859862671044
9.966169026128791e-06,9.749632283672149e-06,1.0684482405954807e-05,2.7707402136091866e-06,5.365160993367117e-06,0.7252213409440095,0.07718950013214845
8.92119453136279e-06,1.240747178639812e-05,1.2576298557543369e-05,2.3190506762629645e-06,9.396330771177852e-06,0.5218656763921649,0.03680651296071449
8.501933403110162e-06,1.0230463642580778e-05,1.3327616988900074e-05,3.0253000663479045e-06,7.53845489072704e-06,0.5395004977605868,0.0247692400704732
6.29498578933782e-06,9.03748464227381e-06,0.0002048601947979175,2.7262715012709306e-06,1.2796303584444507e-05,0.5825414544864806,0.02441993575874249
8.831601017260288e-06,9.470236150959607e-06,1.0147727011670798e-05,3.2488260361528544e-06,5.748039472300447e-06,0.6127115720401195,0.03175986148779288
8.07438901502733e-06,1.025602720372556e-05,0.0001934963427091264,2.190735617479061e-06,6.597510272207633e-06,0.5465640170274344,0.03670574751196987
6.558241104415774e-06,1.5053164965880869e-05,0.0002584860831767566,3.054803175279831e-06,7.90999644537908e-06,0.6926949474919719,0.041602381359732654
7.717035071430358e-06,8.167194561332321e-06,1.6549081016491273e-05,2.1173774501810363e-06,7.898591306735561e-06,0.5609856141397529,0.03276239892340267
8.909355834785691e-06,8.487331941422186e-06,1.4307808565964868e-05,3.575821961339447e-06,6.2798692495658235e-06,0.4186914783130921,0.02439193283436093
9.363033560196394e-06,9.206049714744045e-06,1.0460787402095325e-05,3.400641241299034e-06,9.129684856886593e-06,0.45430067994708245,0.05360952523569071
7.5172863758433545e-06,1.1434967415968729e-05,0.00018746092372629825,2.6756068430965463e-06,1.0025404558537135e-05,0.6235597450612322,0.03723042866976326
6.931139642011779e-06,7.909809764427402e-06,2.4969944536017275e-05,3.0798857548611756e-06,8.142913007577487e-06,0.5260759684287132,0.02826833815445684
9.026865838195647e-06,8.653040575225393e-06,1.010672084367458e-05,1.8540603924732355e-06,6.435916073098131e-06,0.681818973554172,0.03627388051534924
8.091408853879637e-06,8.376096277220089e-06,8.72864801006084e-06,3.4415085478251945e-06,9.633114250051367e-06,0.7743779466992117,0.01989403886277125
7.023600274710183e-06,9.527218186469797e-06,1.0747570556034214e-05,2.309137803616754e-06,6.246514056088244e-06,0.36358640106401624,0.026346243223024975
7.673832464506192e-06,1.1529411898735942e-05,9.123250654112773e-06,3.1258349101280697e-06,9.426925679889016e-06,0.5071935920898641,0.05101820221151653
8.633259492173126e-06,1.1639176125230975e-05,9.938699419484462e-06,3.115741381272858e-06,8.297489547103998e-06,0.5166508318749531,0.03646621540989091
9.527121773480626e-06,7.475839524505021e-06,0.00027942018613530954,2.755722239084988e-06,7.512672348577074e-06,0.7524304099169059,0.029506723745370937
7.422856100003331e-06,8.504278061148212e-06,0.0003860796389119776,2.6946966673004545e-06,7.2088614410637705e-06,0.46629882844380216,0.030177287640023795
8.060204635508116e-06,1.408397423471143e-05,0.00018173625436013316,1.8304841408539781e-06,1.3124490319162737e-05,0.54872435634988,0.038733971157304314
9.738705854696318e-06,9.21267319876469e-06,1.3509394442695393e-05,2.8868771676847034e-06,9.787451389050308e-06,0.17248514721578892,0.03728008790123578
