MOEA/D-AEE,MOEA/D-DEM,MOEA/D-DE,MOEA/D-GA,NSGA-II,APG-SMOEA,DIFF-SMOEA
2.268009541856683e-05,4.476024645567239e-05,3.659845448559479e-05,1.32877629520501e-05,4.9327892202325594e-05,0.00021646881545739295,2.9192553980536917e-05
2.320539451727927e-05,3.11154164466948e-05,1.4859869457970543e-05,1.3143354847702328e-05,4.8817313017364575e-05,0.012844996374330774,2.031626034443087e-05
1.8361260557292074e-05,2.0222716000045234e-05,1.6966551590158494e-05,1.5071263810067855e-05,4.9426056403389484e-05,0.008197766371534687,2.687211431515765e-05
2.0528854351384195e-05,2.8263304439764326e-05,2.7153939336084494e-05,1.7347722442069856e-05,5.2461982156661946e-05,0.004529402048787425,1.919467914721726e-05
1.748820733194616e-05,1.7956982759075994e-05,1.642056674762258e-05,1.3046809839938097e-05,4.988290078390188e-05,0.02139549181739922,3.699354586350363e-05
2.3233983185971147e-05,2.335548751016327e-05,1.843719666444406e-05,3.37066697555735e-05,4.784026959336611e-05,0.0013265277459729437,1.8917482263654516e-05
2.6062504072714686e-05,2.2787900125828536e-05,2.1163582674095e-05,2.2437555979766283e-05,4.7416775077177415e-05,0.0024785699810695597,2.119420411511811e-05
3.723586543569903e-05,1.999606786144921e-05,1.3850259660652173e-05,1.0676853325808773e-05,4.3444990225919226e-05,6.593778262273024e-05,1.8266724101912858e-05
1.8869118149967086e-05,3.318750896392015e-05,1.8614965428163006e-05,2.911207538711345e-05,5.643650643274741e-05,0.005697218359290151,2.467418934013962e-05
1.7291212088869376e-05,1.891406679458701e-05,3.405631835943174e-05,1.811017870150332e-05,4.889729152225263e-05,0.007407185350439239,1.7872165606259704e-05
1.6701754192789385e-05,3.5899703033274964e-05,1.4014592793929187e-05,1.7167616393439386e-05,4.266832714599717e-05,0.00034807835376538535,3.275948135914049e-05
3.4313274254477596e-05,4.654955646997755e-05,1.2443036105515454e-05,9.37552609216078e-06,4.979372966662214e-05,0.005969344782851907,1.772357691289943e-05
1.7117707421916557e-05,1.8279845754945894e-05,2.8226626697300158e-05,1.3977202874912292e-05,5.6655192033220596e-05,0.018869975060740247,2.0756452967025473e-05
2.001799507579096e-05,1.877049809906679e-05,3.1601619411434895e-05,1.6660376908918663e-05,4.4970816775279516e-05,0.0069633449469549205,2.0564963707959623e-05
1.9658407251975623e-05,2.1017385102700294e-05,1.599099873836163e-05,1.4093502956908872e-05,4.785651278236256e-05,0.01723297889865067,1.8894375998302787e-05
1.7708287205475067e-05,1.9881810191349812e-05,2.505017586542628e-05,1.3123286257999646e-05,4.759627449652791e-05,0.005333522032866576,3.576459189946377e-05
3.114199476363831e-05,1.5529347896632468e-05,3.09445789052303e-05,1.1774896355420512e-05,4.9600714727619136e-05,0.006924833704953448,2.3272265789882308e-05
1.6624775709733696e-05,1.691349274439188e-05,3.023082362251714e-05,2.157373282446164e-05,4.91070948153204e-05,0.004687823172492311,1.8456699223334846e-05
2.865239624566888e-05,2.2390162113015226e-05,1.588943416625254e-05,1.3104354729014956e-05,4.168066777273176e-05,0.010362712953572736,1.8967609027101415e-05
3.2680368467561976e-05,2.7370060589536644e-05,1.966444775790648e-05,1.4170891593200436e-05,5.1012421881658194e-05,0.007080351357417008,1.4877561115366675e-05
2.57021921387643e-05,2.2701743609871627e-05,3.7145461785026224e-05,1.5346227189125794e-05,4.892859680470785e-05,0.0064883402914975245,1.8065013595776605e-05
1.9541348704737867e-05,1.6297974542434e-05,1.5304298452717257e-05,2.4607091132289252e-05,4.537617014642011e-05,0.008261243104878342,2.994132075942137e-05
2.137218076984884e-05,5.8056456328279174e-05,1.247863970103234e-05,1.5628230995442606e-05,4.683138959563998e-05,0.03823204283388709,2.304081338188713e-05
2.2383744201164217e-05,1.974962069452691e-05,2.004916497420915e-05,1.3563800618233592e-05,5.550248340602293e-05,0.010322636248916193,2.387044359975858e-05
2.8218404559457047e-05,2.7242529710311348e-05,1.6287886645218225e-05,1.7312058059955426e-05,5.028642121007867e-05,0.011233428288178127,1.8936674650557848e-05
1.745717140354186e-05,1.8210707094282395e-05,1.8033771082910083e-05,2.1388624429563963e-05,5.960522794031045e-05,0.016672796351164768,2.079880171087751e-05
3.090658983286131e-05,1.7331531314417336e-05,2.195616435200609e-05,1.0972212545537966e-05,5.0505252278816366e-05,0.0080726795091955,1.9057489626354764e-05
2.0937900628077205e-05,2.8707699959380914e-05,1.6001598935832077e-05,2.39467047655016e-05,5.135124834618787e-05,0.009139454019374726,1.9659253868939335e-05
1.647533359872371e-05,2.4050870127452954e-05,1.720122275625493e-05,1.4538474589720742e-05,4.774836106207707e-05,0.005627297848562304,1.70819677455933e-05
1.8690001115820034e-05,3.165458616187726e-05,2.0473134270630237e-05,1.3579485777778773e-05,3.936429631204289e-05,0.00010320637579001158,3.4107046831982476e-05
2.60482427069766e-05,2.8402856531862262e-05,1.8295225152044317e-05,1.0367527235898218e-05,4.921321560159858e-05,0.01032304399580275,1.8671157166605303e-05
1.8919416287238784e-05,1.6252283114431973e-05,1.634130504543744e-05,2.1669116847536077e-05,4.444787987822957e-05,0.007906088797793491,2.2899628973025442e-05
