MOEA/D-AEE,MOEA/D-DEM,MOEA/D-DE,MOEA/D-GA,NSGA-II,APG-SMOEA,DIFF-SMOEA
1.6778940179184815e-05,3.3359351311174315e-05,1.1847722936005754e-05,1.6346909416068637e-05,1.6159274069219226e-05,7.432311920936907e-05,2.8341740875519685e-05
1.982282149471641e-05,1.6575243821012306e-05,1.1572432054645562e-05,0.0,1.5916333657181956e-05,1.3931894961426446e-05,1.8999405516452732e-05
1.7908374273623238e-05,3.2457301627639984e-05,1.1174502807331393e-05,2.4551740914240773e-05,1.3360843522091688e-05,2.3032926381073596e-05,1.6248645968258553e-05
2.646377823076119e-05,2.380575735391354e-05,2.9442888273170713e-05,1.0930218220057598e-05,1.499942984463495e-05,2.095551770762326e-05,1.8944941355865586e-05
2.4575917448759945e-05,1.521272032652369e-05,6.561489578793165e-06,1.6029102207734235e-05,1.4902200643346066e-05,2.294560144474414e-05,2.4960175513533698e-05
1.5460270047425466e-05,2.619861199843993e-05,1.465861111352781e-05,1.6541851971134842e-05,1.3043537279404105e-05,1.4223462908472526e-05,1.946151016275405e-05
1.7513100190466024e-05,3.803689953402213e-05,1.211170071658062e-05,1.674526912119693e-05,1.5314899284826472e-05,1.7109126509292925e-05,2.717771461175811e-05
1.526308726358977e-05,1.696609392977824e-05,8.930808824728311e-06,1.7039082965931492e-05,1.1960327159470673e-05,2.1756575035770753e-05,2.6081678249298366e-05
3.204213307584144e-05,2.1186904966552636e-05,1.240791681102349e-05,1.9777387214521972e-05,1.639790521134235e-05,1.9875613942613e-05,3.156314118861e-05
1.6932710578364676e-05,2.11208278893774e-05,5.985529830484315e-06,1.690792631492949e-05,1.577098367542441e-05,2.273299212611593e-05,1.8614363072541018e-05
1.6499665207129874e-05,3.120983792629699e-05,1.2790835788702545e-05,1.6778659891406873e-05,1.7604027021547932e-05,1.6593502206648827e-05,2.0093645390858556e-05
1.671832743875297e-05,1.6817346555577697e-05,7.67573161916475e-06,2.455919877632496e-05,1.2087743569420928e-05,1.7045620985149292e-05,2.2285631523115422e-05
1.7879688316195425e-05,2.4030790557869953e-05,6.148305134300292e-06,2.154095636164474e-05,1.2494390336122658e-05,1.878664208326652e-05,2.060206306315274e-05
1.6140362983874428e-05,2.628787483878466e-05,9.317923085231104e-06,7.347366205452914e-05,1.3257678820977326e-05,6.901177792277624e-05,2.913426243338614e-05
2.8104805719874463e-05,2.2471163536157068e-05,1.049213703565574e-05,1.3607210009862511e-05,1.5094090486803988e-05,1.9745065654680038e-05,1.5574139621665138e-05
1.5973649225373376e-05,2.1257667259865637e-05,8.145627538524999e-06,1.5862708493023697e-05,1.0546816795254093e-05,1.7758149525431355e-05,2.559093052022213e-05
2.4508525012914108e-05,2.0343789484127275e-05,1.1431161426812936e-05,1.1740336343479351e-05,1.4070353340797592e-05,1.6217379775800476e-05,2.6057472485220113e-05
1.8443533641851848e-05,1.8159488693721324e-05,1.7645673365372292e-05,1.5479165419549964e-05,1.4166463673157149e-05,3.414212101850973e-05,1.8197410984042373e-05
1.8048160240533635e-05,1.6216568829957917e-05,1.0211023590090352e-05,1.3305082393067282e-05,1.5769477117226527e-05,1.5310026232816948e-05,2.050560300846343e-05
